#{"t_start": 1741831156.5895624, "env_id": "None"}
r,l,t
-564.3,513,7366.873502
-564.3,513,7379.892538
-564.3,513,7387.341895
-564.3,513,7394.802285
-564.29993,513,7402.280123
-564.299946,513,7409.76097
-564.300028,513,7417.2658
-564.300178,513,7424.836124
-564.299818,513,7432.415861
-564.299978,513,7439.894893
-564.300006,513,7447.398214
-564.30018,513,7454.905784
-564.299914,513,7462.409265
-564.3,513,7469.894348
-564.300076,513,7477.376323
-564.3,513,7490.455433
-564.3,513,7497.939011
-559.691579,513,7505.458881
-564.300118,513,7512.98544
-564.300002,513,7520.547365
-564.299908,513,7528.108543
-564.300038,513,7535.656425
-564.300206,513,7543.177016
-564.299966,513,7550.683383
-564.299964,513,7558.192159
-564.3,513,7565.642754
-564.299834,513,7573.104503
-564.300028,513,7580.554575
-564.299974,513,7587.994577
-564.299842,513,7600.960585
-564.299982,513,7608.392176
-564.300018,513,7615.830406
-564.300012,513,7623.269546
-564.29999,513,7630.717273
-564.300162,513,7638.177898
-564.299832,513,7645.655913
-564.30001,513,7653.148484
-564.300034,513,7660.633945
-564.299956,513,7668.098798
-564.299984,513,7675.570132
-564.3,513,7683.031367
-564.300184,513,7690.489363
-564.299822,513,7697.935589
-564.3,513,7710.961784
-564.3,513,7718.45713
-564.3,513,7725.993457
-564.300144,513,7733.544456
-564.299752,513,7741.117499
-564.300046,513,7750.100287
-564.30018,513,7756.339659
-564.299824,513,7763.975566
-564.299958,513,7771.627622
-564.300044,513,7780.664014
-564.299986,513,7786.960214
-564.299982,513,7794.644693
-564.300208,513,7802.331776
-564.299818,513,7811.306218
-564.299982,513,7823.355484
-564.300026,513,7830.974998
-564.299982,513,7838.619765
-564.300012,513,7846.265783
-564.300002,513,7853.892297
-564.299994,513,7861.510929
-564.299998,513,7869.123383
-564.299982,513,7876.734033
-564.300022,513,7884.35064
-564.299978,513,7891.971024
-564.300012,513,7899.576742
-564.299992,513,7907.171689
-564.299988,513,7914.752999
-564.300012,513,7922.33429
-564.300194,513,7935.530635
-564.29984,513,7943.109526
-564.300056,513,7950.69748
-564.3,513,7958.303578
-564.3,513,7965.907202
-564.3,513,7973.500823
-564.3,513,7981.115581
-559.897934,513,7988.803161
-564.300056,513,7996.477759
-564.299906,513,8004.188292
-564.29996,513,8011.915443
-564.299986,513,8019.595263
-564.299992,513,8027.246234
-564.30017,513,8034.89413
-564.299852,513,8048.230986
-564.299988,513,8055.864262
-564.299968,513,8063.489597
-564.300162,513,8071.075152
-564.3,513,8078.657016
-564.3,513,8086.247611
-564.3,513,8093.841373
-564.3,513,8101.435923
-564.3,513,8109.029374
-564.3,513,8116.645541
-564.3,513,8124.260306
-564.300028,513,8131.893353
-564.299792,513,8139.522713
-564.300202,513,8147.130422
-564.299858,513,8160.333967
-564.300006,513,8167.862746
-564.299958,513,8175.373547
-564.30002,513,8182.851536
